stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
74,0.5,3.0,163.6255441999965,164.115367099992,164.115367099992,164.115367099992,164.42516699999396,left,-3.0,1,1,0.5717656999913743,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
75,0.5,3.0,164.7249729000032,165.212978999989,165.212978999989,165.212978999989,165.51297719999275,left,-3.0,1,1,0.48474840000562835,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
76,0.5,2.5,165.7419593999948,166.2296018999914,166.2296018999914,166.2296018999914,166.52901959999872,left,-2.5,1,1,0.5710981000011088,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
77,0.5,2.5,166.8412316999893,167.3291370999941,167.3291370999941,167.3291370999941,167.62870809999004,right,2.5,1,1,0.6488241000042763,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
78,0.5,2.5,168.00687909999397,168.4957476999989,168.4957476999989,168.4957476999989,168.79509269999107,left,-2.5,1,1,0.5528761000023223,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
79,0.5,2.0,169.0896928000002,169.5784224999952,169.5784224999952,169.5784224999952,169.8779119999963,right,2.0,1,1,0.5088583000033395,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
80,0.5,2.0,170.1223958999908,170.61057959999016,170.61057959999016,170.61057959999016,170.9103338999994,right,2.0,1,1,0.5564238000079058,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
81,0.5,2.0,171.20614840000053,171.69378669999423,171.69378669999423,171.69378669999423,171.99374819999503,left,-2.0,1,1,0.5897669999976642,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
82,0.5,1.5,172.32212879999133,172.81019289999676,172.81019289999676,172.81019289999676,173.10981529999117,right,1.5,1,1,0.6032210999983363,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
83,0.5,1.5,173.45476629999757,173.93810780000058,173.93810780000058,173.93810780000058,174.24348599999212,left,-1.5,1,1,0.5595421999896644,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
84,0.5,1.5,174.538278299995,175.02658869999868,175.02658869999868,175.02658869999868,175.325906699989,right,1.5,1,1,0.5331227999995463,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
85,0.5,1.0,175.58780569999362,176.0760120999912,176.0760120999912,176.0760120999912,176.37564009999915,right,1.0,1,1,0.6762524000077974,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
86,0.5,1.0,176.7882888000022,177.27561019999848,177.27561019999848,177.27561019999848,177.57531679999374,right,1.0,1,1,0.6129829999990761,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
87,0.5,1.0,177.92079589999048,178.40852089998953,178.40852089998953,178.40852089998953,178.70871569999144,left,-1.0,1,1,0.6300713000091491,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
88,0.5,1.0,179.0699031999975,179.5582757999946,179.5582757999946,179.5582757999946,179.8580540999974,right,1.0,1,1,0.5850363000063226,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
89,0.5,1.0,180.18632789999538,180.67450850000023,180.67450850000023,180.67450850000023,180.97425059998932,right,1.0,1,1,0.6198023000033572,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
90,0.5,1.0,181.3420169000019,181.84111880000273,181.84111880000273,181.84111880000273,182.15844649999053,right,1.0,1,1,0.6326450000051409,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
91,0.5,1.0,182.5033049999911,182.98998679999204,182.98998679999204,182.98998679999204,183.28930910000054,right,1.0,1,1,0.7363448999967659,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
92,0.5,1.0,183.7688416000019,184.2572255999985,184.2572255999985,184.2572255999985,184.5564860000013,right,1.0,1,1,0.6853428000031272,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
93,0.5,1.0,184.98520349999308,185.4734984999959,185.4734984999959,185.4734984999959,185.77243420000013,left,-1.0,0,0,0.7504882000066573,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
94,0.5,1.5,186.26722470000095,186.75557120000303,186.75557120000303,186.75557120000303,187.055520599999,right,1.5,1,1,0.7339718000002904,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
95,0.5,1.5,187.53400339999644,188.0221265,188.0221265,188.0221265,188.32135600000038,right,1.5,1,1,0.9589386000006925,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
96,0.5,1.5,189.01723939999647,189.50508439999248,189.50508439999248,189.50508439999248,189.80477059999248,left,-1.5,1,1,1.3798069000040414,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
97,0.5,1.0,190.91613019999932,191.40404280000075,191.40404280000075,191.40404280000075,191.7039758000028,right,1.0,1,1,0.7144377000076929,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
98,0.5,1.0,192.14888969999447,192.63668480000342,192.63668480000342,192.63668480000342,192.93690600000264,left,-1.0,1,1,0.6490227000031155,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
99,0.5,1.0,193.31523870000092,193.80281839999952,193.80281839999952,193.80281839999952,194.1028210999939,left,-1.0,1,1,0.6500475999928312,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
100,0.5,1.0,194.48184519998904,194.9695483999967,194.9695483999967,194.9695483999967,195.2700205000001,left,-1.0,1,1,0.6437636000046041,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
101,0.5,1.0,195.64832449999813,196.13605849999294,196.13605849999294,196.13605849999294,196.4357505999942,right,1.0,1,1,0.7425882999959867,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
102,0.5,1.0,196.91467929999635,197.40217689999554,197.40217689999554,197.40217689999554,197.70147179999913,left,-1.0,1,1,0.69969090000086,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
103,0.5,1.0,198.1307128999906,198.6185584999912,198.6185584999912,198.6185584999912,198.91825289999542,right,1.0,1,1,0.8426027999958023,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
104,0.5,1.0,199.49718320000102,199.9849447000015,199.9849447000015,199.9849447000015,200.2841225000011,right,1.0,1,1,0.7845971000060672,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
105,0.5,1.0,200.81302219998906,201.30101499999,201.30101499999,201.30101499999,201.60046139999758,right,1.0,1,1,0.7513101000076858,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
106,0.5,1.0,202.08077249999042,202.56707509999978,202.56707509999978,202.56707509999978,202.86693709999963,left,-1.0,0,0,1.0719128000055207,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
107,0.5,1.5,203.67958769999677,204.16671920000226,204.16671920000226,204.16671920000226,204.4659446000005,left,-1.5,0,0,1.1590087999938987,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
108,0.5,2.0,205.36087049999333,205.84925020000082,205.84925020000082,205.84925020000082,206.14906569999584,right,2.0,0,0,0.8623093999922276,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
109,0.5,2.5,206.74393349999445,207.2318127000035,207.2318127000035,207.2318127000035,207.53198069999053,left,-2.5,1,1,0.8513816000049701,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
110,0.5,2.5,208.1106868999923,208.59863659999974,208.59863659999974,208.59863659999974,208.89806910000334,right,2.5,1,1,0.7534450000093784,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
111,0.5,2.5,209.39304179999453,209.8811907999916,209.8811907999916,209.8811907999916,210.1808630000014,right,2.5,1,1,0.7711057000124129,345926,001,2023-09-06_16h49.04.178,Tutorial_1,2023.1.3,60.10778527909037,
